temp,humidity,conditions
26.4,70.6,Clear
25.8,70.3,Partially cloudy
25.7,69.3,Partially cloudy
26,68.8,Clear
26.5,66.6,Partially cloudy
26.4,66.5,Partially cloudy
26.9,62.3,Partially cloudy
25.2,76.2,Partially cloudy
25.7,69.4,Partially cloudy
24.8,63,Partially cloudy
25.4,63.4,Clear
25.2,65.9,Partially cloudy
24.7,66.9,Partially cloudy
25.3,66.1,Partially cloudy
25.1,70.5,Clear
24.8,66.9,Clear
25.3,67.1,Clear
26,64.4,Partially cloudy
25.1,63.2,Clear
25.5,61.1,Clear
26.4,63.4,Clear
26.3,65.5,Partially cloudy
26.2,69.9,Partially cloudy
26,74.4,"Rain, Partially cloudy"
26.5,63.3,Partially cloudy
25.6,67.3,Partially cloudy
25.6,67,Partially cloudy
26.4,60.5,Clear
26.7,60.8,Partially cloudy
26.2,71,Partially cloudy
27.9,63.3,Partially cloudy
27.8,61.4,Partially cloudy
24.2,80.5,"Rain, Partially cloudy"
25.4,81.3,"Rain, Partially cloudy"
25.7,76,"Rain, Partially cloudy"
26.6,61.3,Partially cloudy
25.5,60.5,Partially cloudy
26.5,61.6,Clear
26.5,68.9,Partially cloudy
27,64,Partially cloudy
26.4,61,Partially cloudy
26.2,59.2,Partially cloudy
26.7,55.5,Partially cloudy
26.6,58.5,Partially cloudy
26.2,61.4,Partially cloudy
26.3,56.5,Clear
26.4,61.9,Clear
26.5,59.7,Partially cloudy
26.8,60.1,Partially cloudy
27.6,62.6,Partially cloudy
27.9,61.2,Clear
27.7,60.6,Clear
27.5,54.2,Clear
27,54.4,Partially cloudy
27.7,61,Partially cloudy
27.9,57.2,Clear
27.1,56.8,Clear
27.8,55.5,Clear
27.4,63,"Rain, Partially cloudy"
28.2,66,Partially cloudy
28.2,60.6,Partially cloudy
27.6,53.6,Partially cloudy
28.4,59.9,Clear
28.4,64.4,Clear
28.6,59.3,Partially cloudy
28.2,63.5,Clear
28.5,62,Partially cloudy
28.2,61.2,Partially cloudy
28,63.3,Partially cloudy
28.9,61.2,Partially cloudy
28.8,60.4,Partially cloudy
29,61.9,Partially cloudy
29.2,59.8,Partially cloudy
29.9,62.2,"Rain, Partially cloudy"
30.2,62.7,Partially cloudy
29.5,63,"Rain, Partially cloudy"
29.9,62.6,"Rain, Partially cloudy"
29.7,66.3,"Rain, Partially cloudy"
28.8,71.1,Partially cloudy
29.1,66.7,"Rain, Partially cloudy"
29.5,67.7,"Rain, Partially cloudy"
29.8,70.9,Partially cloudy
30.1,66.8,"Rain, Partially cloudy"
30.5,64.8,Partially cloudy
29.9,64.9,Partially cloudy
31.1,59.6,Partially cloudy
30.6,67.4,"Rain, Partially cloudy"
30.5,66.5,"Rain, Partially cloudy"
30.6,65.1,"Rain, Partially cloudy"
30.9,63.1,Partially cloudy
31.2,61.7,Partially cloudy
31.2,61.4,Partially cloudy
30.8,62.3,Partially cloudy
28.5,72.3,"Rain, Partially cloudy"
30.2,61.2,Partially cloudy
30.9,56,Partially cloudy
30.3,57.3,Partially cloudy
29.7,63.8,Partially cloudy
29.6,65.7,"Rain, Partially cloudy"
31.2,60.9,Partially cloudy
31.9,51,"Rain, Partially cloudy"
31.7,44.3,Clear
31.3,47.9,Clear
31.4,55.7,Partially cloudy
31.8,51.8,Partially cloudy
31.6,56.2,Partially cloudy
31.4,52.4,Clear
32,50.4,Clear
32.6,54.2,Clear
32.3,60.8,Clear
33.1,57.2,"Rain, Partially cloudy"
32.2,53.7,"Rain, Partially cloudy"
31,57.1,"Rain, Partially cloudy"
29.5,67.7,"Rain, Partially cloudy"
28.4,76.3,"Rain, Partially cloudy"
28.7,76.4,Partially cloudy
30,67.5,"Rain, Partially cloudy"
29.4,69.3,"Rain, Partially cloudy"
29.3,74.1,"Rain, Partially cloudy"
29,69.8,"Rain, Partially cloudy"
28.3,75.8,"Rain, Partially cloudy"
28.3,75.9,"Rain, Partially cloudy"
28.5,72.7,"Rain, Overcast"
28.6,71.2,"Rain, Partially cloudy"
28.6,67.2,"Rain, Overcast"
28.6,66.8,"Rain, Overcast"
27.4,73.6,"Rain, Overcast"
29.7,63.6,"Rain, Partially cloudy"
29.6,67.2,"Rain, Partially cloudy"
30.2,65.9,"Rain, Partially cloudy"
32.1,62.5,"Rain, Partially cloudy"
31.2,62.6,"Rain, Overcast"
31.5,59.8,"Rain, Partially cloudy"
31.9,57.7,Partially cloudy
32.3,59.7,Partially cloudy
32.9,59.6,"Rain, Partially cloudy"
32.5,60,"Rain, Partially cloudy"
32.1,65.1,"Rain, Partially cloudy"
31.2,68.3,Partially cloudy
31.8,65.1,Partially cloudy
31.8,64.5,Partially cloudy
30.7,70.3,Partially cloudy
30.8,70,Partially cloudy
31.8,63.5,Partially cloudy
32.1,59.9,Partially cloudy
31.8,57.9,"Rain, Partially cloudy"
32.2,60.4,"Rain, Partially cloudy"
31.8,63.5,"Rain, Partially cloudy"
30.8,66.7,"Rain, Partially cloudy"
30.9,71.5,Partially cloudy
31.1,64.4,"Rain, Partially cloudy"
31.5,64.7,"Rain, Partially cloudy"
32.2,57.3,Partially cloudy
32.8,56.9,"Rain, Partially cloudy"
32.2,59.9,Partially cloudy
31.4,63.5,"Rain, Partially cloudy"
31.4,66.2,"Rain, Partially cloudy"
32,60.6,"Rain, Partially cloudy"
31.9,56.5,Partially cloudy
32.1,55.7,Partially cloudy
32.1,52.1,Partially cloudy
32.3,52,Partially cloudy
31.2,60.2,"Rain, Partially cloudy"
32.1,58.3,"Rain, Partially cloudy"
32.5,53,Partially cloudy
32.8,54.1,"Rain, Partially cloudy"
33.8,49.5,Partially cloudy
32.5,53,"Rain, Partially cloudy"
30.6,60.2,Partially cloudy
30.9,64,Partially cloudy
30.8,60.8,Partially cloudy
30.1,62.4,Partially cloudy
31.4,58.5,Partially cloudy
32.1,59.2,"Rain, Partially cloudy"
32.4,51.3,Partially cloudy
31.8,52.4,Partially cloudy
31.4,52.9,Partially cloudy
31,53.1,Partially cloudy
31.7,51.4,Partially cloudy
32.3,51.5,Partially cloudy
31.9,55.3,Partially cloudy
31.8,56.6,"Rain, Partially cloudy"
31.6,59,"Rain, Partially cloudy"
29.6,64.5,"Rain, Partially cloudy"
29,61.3,"Rain, Partially cloudy"
30,56.7,Partially cloudy
29.5,62.1,Partially cloudy
30,59.1,Partially cloudy
30.7,56.4,Partially cloudy
31.6,59.6,Partially cloudy
29.4,69.7,"Rain, Partially cloudy"
28.5,75.9,"Rain, Partially cloudy"
29.3,67.3,Partially cloudy
30.2,66.1,"Rain, Partially cloudy"
31.5,57.6,Partially cloudy
31.7,58.3,Partially cloudy
31,61.1,"Rain, Partially cloudy"
31.3,57.9,Partially cloudy
31.1,52.7,Partially cloudy
31.4,52,Partially cloudy
31.7,51.3,Partially cloudy
31.9,48.6,Partially cloudy
31.7,49.8,Partially cloudy
31.2,53.7,Partially cloudy
30.6,54.2,Partially cloudy
30.9,53.9,Partially cloudy
30.5,55.2,"Rain, Partially cloudy"
32.1,50,Partially cloudy
32.5,48.7,Partially cloudy
32.4,48,Partially cloudy
33,46.2,Partially cloudy
32.6,49.8,Partially cloudy
32.2,48.8,Partially cloudy
32.6,45.8,Partially cloudy
32.8,47,Partially cloudy
32.8,49.3,"Rain, Partially cloudy"
32.6,49.5,Partially cloudy
32.2,55.8,Partially cloudy
31.6,57.6,"Rain, Partially cloudy"
30.3,61.8,"Rain, Partially cloudy"
29.4,69.5,"Rain, Partially cloudy"
28.9,74,"Rain, Partially cloudy"
29.7,70.5,Partially cloudy
28.8,74.8,"Rain, Partially cloudy"
30.1,69.1,Partially cloudy
29.8,66.5,Partially cloudy
29.7,69.8,"Rain, Partially cloudy"
30.1,63.3,"Rain, Partially cloudy"
31.3,57.5,Partially cloudy
31.2,56.1,Partially cloudy
31.4,51.7,Partially cloudy
31.3,53.4,Partially cloudy
32.2,53.8,Partially cloudy
30.3,65.6,Partially cloudy
30.4,66.9,"Rain, Partially cloudy"
31.4,56,Clear
31.6,54.5,Partially cloudy
31.6,61,Partially cloudy
31.4,62,Partially cloudy
31.3,61,"Rain, Partially cloudy"
30.3,66.5,"Rain, Partially cloudy"
29.2,73.1,"Rain, Partially cloudy"
29.1,72.6,"Rain, Partially cloudy"
29.6,72.9,"Rain, Partially cloudy"
28.7,76.8,"Rain, Partially cloudy"
28.7,76,"Rain, Partially cloudy"
29.2,67.9,"Rain, Partially cloudy"
29.2,62.5,"Rain, Partially cloudy"
29.2,65.6,Partially cloudy
29,68.3,Partially cloudy
30.1,62.4,"Rain, Partially cloudy"
31.4,58.4,Partially cloudy
31.7,55.2,Partially cloudy
30.8,56.4,Partially cloudy
31.7,55.6,Partially cloudy
31.3,56.5,Partially cloudy
31.3,56.7,Partially cloudy
30.8,59.3,"Rain, Partially cloudy"
30.8,59.1,Partially cloudy
29.8,66.4,"Rain, Partially cloudy"
27.9,80.4,"Rain, Partially cloudy"
27.6,81.3,"Rain, Partially cloudy"
29.5,70.3,"Rain, Partially cloudy"
28.8,73.9,"Rain, Partially cloudy"
29.7,72.5,"Rain, Partially cloudy"
29.8,72.2,Partially cloudy
30.9,64.6,"Rain, Partially cloudy"
30.3,60.1,Partially cloudy
29.9,67.5,Partially cloudy
29.2,70,"Rain, Partially cloudy"
29.6,68.1,Partially cloudy
29.9,63.7,Partially cloudy
29.5,66.5,Partially cloudy
29.3,67.9,Partially cloudy
29.7,65.1,Partially cloudy
30.4,65.7,Partially cloudy
30.5,65.5,"Rain, Partially cloudy"
29.3,71.5,Partially cloudy
29.9,67.3,"Rain, Partially cloudy"
29.8,69.7,Partially cloudy
29.7,70.7,Partially cloudy
29.8,72.8,Partially cloudy
28.9,75.1,"Rain, Partially cloudy"
29.4,73.7,Partially cloudy
28,78.6,"Rain, Partially cloudy"
28.7,77.2,Partially cloudy
27.5,80.5,"Rain, Partially cloudy"
27.8,79.5,"Rain, Partially cloudy"
26.4,84.2,"Rain, Partially cloudy"
27.3,83.6,"Rain, Partially cloudy"
27.8,76.7,"Rain, Partially cloudy"
28.3,73.9,Partially cloudy
28.6,73.9,"Rain, Partially cloudy"
28.5,74.1,Partially cloudy
27.9,77,"Rain, Partially cloudy"
27.6,78,Partially cloudy
28.7,73.2,"Rain, Partially cloudy"
28.2,77.1,"Rain, Partially cloudy"
28.6,72.5,"Rain, Partially cloudy"
28.6,73.5,Partially cloudy
28.5,72.8,"Rain, Partially cloudy"
26.2,86.2,"Rain, Partially cloudy"
25.6,88.7,"Rain, Partially cloudy"
27.3,80,"Rain, Partially cloudy"
27.7,78.7,"Rain, Partially cloudy"
27.4,82.7,"Rain, Partially cloudy"
26.4,86,"Rain, Partially cloudy"
26,87.2,"Rain, Partially cloudy"
26.8,84,"Rain, Partially cloudy"
27.9,77.4,"Rain, Partially cloudy"
26.1,87.8,"Rain, Partially cloudy"
26.9,83.5,Partially cloudy
25.9,86.2,"Rain, Partially cloudy"
26.7,86,"Rain, Partially cloudy"
26.9,83.5,"Rain, Partially cloudy"
27.7,69.5,Partially cloudy
27.4,73.2,Partially cloudy
26.9,78.6,Partially cloudy
27.4,73.3,"Rain, Partially cloudy"
28,76.9,"Rain, Partially cloudy"
28.9,74.1,Partially cloudy
28.9,75.6,Partially cloudy
27.5,76.1,Partially cloudy
28.1,73.5,"Rain, Partially cloudy"
28.7,75.2,"Rain, Partially cloudy"
26.8,86.8,"Rain, Partially cloudy"
26.5,86.9,"Rain, Partially cloudy"
27.5,80.4,"Rain, Partially cloudy"
27.6,81.7,"Rain, Partially cloudy"
27.6,77.9,Partially cloudy
25.8,85.7,"Rain, Partially cloudy"
27.3,80.3,"Rain, Partially cloudy"
27.2,81.8,"Rain, Partially cloudy"
27.1,80,"Rain, Partially cloudy"
27.6,75.9,Partially cloudy
28.3,72,Partially cloudy
28.6,75.5,Partially cloudy
29.3,75.6,"Rain, Partially cloudy"
29.5,72.2,Partially cloudy
29.1,74.1,"Rain, Partially cloudy"
28.5,77.7,Partially cloudy
28.6,79.8,Partially cloudy
28,80.5,Partially cloudy
28.1,77.2,"Rain, Partially cloudy"
27.4,76.6,"Rain, Partially cloudy"
26.6,77.1,"Rain, Partially cloudy"
26.1,75.4,"Rain, Partially cloudy"
26.8,70.2,Partially cloudy
27.1,70.9,"Rain, Partially cloudy"
26.5,79.8,"Rain, Partially cloudy"
26,83,"Rain, Partially cloudy"
24.5,87.6,"Rain, Overcast"
26.1,75.1,"Rain, Partially cloudy"
